name,value,year,lastValue,rank
CANADA,-8227,2018.5,-54434,1
NETHERLANDS,94463,2018.5,62018,1
UNITED STATES,1707571,2018.5,1112095,1
BRITAIN,480309,2018.5,523861,1
BERMUDA,142600,2018.5,136160,1
SWEDEN,110358,2018.5,107897,1
FRANCE,35168,2018.5,34978,1
RUSSIA,26226,2018.5,32177,1
CHINA,140915,2018.5,186632,1
GERMANY,115506,2018.5,110827,1
ITALY,-5541,2018.5,-6003,1
BRAZIL,603816,2018.5,609350,1
JAPAN,-15856,2018.5,-12548,1
UNITED STATES,2415049,2018.5,1572857,1
CHINA,199299,2018.5,263958,1
FRANCE,49739,2018.5,49470,1
BRITAIN,679310,2018.5,740906,1
BRAZIL,853988,2018.5,861815,1
ITALY,-7836,2018.5,-8490,1
NETHERLANDS,133601,2018.5,87713,1
RUSSIA,37092,2018.5,45508,1
BERMUDA,201682,2018.5,192574,1
SWEDEN,156082,2018.5,152601,1
GERMANY,163362,2018.5,156745,1
CANADA,-11636,2018.5,-76987,1
JAPAN,-22426,2018.5,-17747,1
SWEDEN,38495,2018.5,110358,1
BRAZIL,556475,2018.5,603816,1
CANADA,-19809,2018.5,-8227,1
UNITED STATES,1336209,2018.5,1707571,1
FRANCE,37814,2018.5,35168,1
NETHERLANDS,101383,2018.5,94463,1
ITALY,-1891,2018.5,-5541,1
CHINA,308891,2018.5,140915,1
GERMANY,109291,2018.5,115506,1
BRITAIN,437974,2018.5,480309,1
JAPAN,-29265,2018.5,-15856,1
BERMUDA,127024,2018.5,142600,1
BRAZIL,787033,2018.5,853988,1
FRANCE,53481,2018.5,49739,1
GERMANY,154573,2018.5,163362,1
CHINA,436870,2018.5,199299,1
CANADA,-28017,2018.5,-11636,1
UNITED STATES,1889826,2018.5,2415049,1
ITALY,-2674,2018.5,-7836,1
BRITAIN,619435,2018.5,679310,1
BERMUDA,179653,2018.5,201682,1
JAPAN,-41390,2018.5,-22426,1
NETHERLANDS,143388,2018.5,133601,1
SWEDEN,54444,2018.5,156082,1
UNITED STATES,1124321,2018.5,1336209,1
JAPAN,-19978,2018.5,-29265,1
NETHERLANDS,283455,2018.5,101383,1
FRANCE,28687,2018.5,37814,1
GERMANY,101017,2018.5,109291,1
BRAZIL,622749,2018.5,556475,1
CANADA,-32527,2018.5,-19809,1
ITALY,-2574,2018.5,-1891,1
BRITAIN,377264,2018.5,437974,1
SWEDEN,113357,2018.5,38495,1
CHINA,338515,2018.5,308891,1
BERMUDA,72148,2018.5,127024,1
NETHERLANDS,400896,2018.5,143388,1
GERMANY,142871,2018.5,154573,1
FRANCE,40573,2018.5,53481,1
ITALY,-3640,2018.5,-2674,1
BRITAIN,533572,2018.5,619435,1
JAPAN,-28255,2018.5,-41390,1
UNITED STATES,1590148,2018.5,1889826,1
